[22, 26, 29, 38, 47, 48]
[05, 08, 09, 16, 39, 48]
[01, 02, 04, 21, 32, 33]
[19, 27, 34, 36, 37, 41]
[32, 33, 34, 39, 44, 47]
[19, 28, 35, 37, 38, 41]
[02, 06, 15, 38, 39, 45]
[24, 30, 31, 32, 39, 41]
[09, 16, 17, 28, 29, 46]
[06, 11, 19, 31, 33, 46]
[08, 14, 17, 27, 34, 38]
[03, 17, 20, 31, 39, 46]
[01, 03, 18, 32, 38, 41]
[02, 03, 06, 07, 25, 30]
[03, 05, 31, 33, 35, 38]
[05, 13, 18, 25, 29, 37]
[05, 11, 17, 19, 24, 28]
[05, 10, 13, 25, 33, 44]
[03, 04, 17, 21, 22, 32]
[01, 03, 29, 31, 36, 44]
[09, 30, 34, 36, 37, 42]
[12, 14, 39, 41, 46, 48]
[11, 17, 22, 29, 33, 43]
[03, 08, 14, 16, 37, 44]
[12, 18, 21, 34, 38, 41]
[02, 03, 09, 21, 22, 27]
[12, 17, 25, 33, 48, 49]
[07, 21, 30, 37, 38, 41]
[04, 12, 31, 33, 35, 39]
[13, 17, 26, 37, 39, 49]
[06, 11, 14, 25, 32, 47]
[02, 05, 20, 21, 35, 36]
[08, 21, 23, 28, 39, 45]
[10, 21, 22, 31, 35, 46]
[07, 18, 22, 28, 29, 43]
[28, 32, 34, 40, 45, 46]
[08, 17, 36, 39, 41, 44]
[04, 07, 14, 20, 28, 35]
[13, 15, 16, 27, 30, 32]
[07, 16, 18, 27, 30, 42]
[15, 23, 25, 34, 40, 42]
[03, 09, 10, 35, 39, 44]
[01, 02, 17, 23, 39, 45]
[08, 28, 29, 35, 37, 47]
[03, 05, 13, 20, 26, 41]
[07, 18, 22, 23, 24, 49]
[04, 11, 24, 25, 35, 36]
[13, 20, 22, 34, 41, 45]
[02, 06, 30, 37, 43, 48]
[29, 35, 36, 41, 44, 49]
[04, 09, 17, 26, 36, 49]
[05, 09, 10, 21, 33, 35]
[04, 08, 14, 25, 30, 39]
[06, 09, 25, 27, 34, 46]
[12, 16, 21, 23, 36, 46]
[18, 28, 31, 38, 42, 49]
[02, 25, 28, 32, 33, 40]
[08, 11, 20, 32, 34, 39]
[07, 14, 18, 33, 34, 44]
[08, 13, 17, 20, 21, 43]
[03, 07, 12, 15, 28, 30]
[16, 17, 19, 20, 28, 31]
[01, 04, 18, 37, 40, 49]
[02, 33, 35, 42, 45, 46]
[06, 08, 10, 31, 34, 44]
[23, 24, 30, 37, 41, 44]
[01, 04, 16, 18, 33, 35]
[02, 13, 16, 24, 31, 43]
[04, 12, 23, 29, 32, 35]
[14, 17, 27, 32, 36, 40]
[04, 14, 15, 22, 29, 48]
[11, 15, 22, 31, 47, 49]
[05, 13, 27, 37, 38, 46]
[06, 22, 25, 34, 35, 38]
[06, 07, 24, 31, 38, 40]
[01, 07, 13, 17, 36, 45]
[21, 25, 27, 37, 38, 49]
[03, 19, 22, 35, 41, 44]
[14, 19, 22, 28, 29, 46]
[06, 11, 14, 15, 24, 29]
[21, 34, 36, 37, 40, 44]
[04, 06, 10, 35, 42, 47]
[11, 29, 36, 37, 40, 41]
[26, 32, 44, 45, 48, 49]
[02, 04, 10, 16, 21, 38]
[03, 04, 22, 31, 39, 47]
[01, 05, 06, 07, 08, 09]
[07, 15, 23, 28, 33, 34]
[02, 05, 15, 31, 32, 46]
[10, 19, 22, 27, 40, 47]
[08, 09, 14, 18, 20, 48]
[04, 15, 24, 32, 33, 38]
[03, 17, 19, 28, 31, 43]
[06, 15, 28, 35, 41, 48]
[04, 23, 29, 36, 40, 49]
[06, 15, 25, 41, 47, 48]
[09, 13, 18, 30, 37, 38]
[05, 13, 19, 32, 41, 48]
[25, 32, 34, 37, 45, 46]
[03, 13, 20, 35, 36, 41]
